"CLDR Short Name";"Code";"Browser"
"man office worker: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F4BC";"👨🏽
💼"
"man office worker: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F4BC";"👨🏾
💼"
"man office worker: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F4BC";"👨🏿
💼"
"woman office worker";"U+1F469 U+200D U+1F4BC";"👩
💼"
"woman office worker: light skin tone";"U+1F469 U+1F3FB U+200D U+1F4BC";"👩🏻
💼"
"woman office worker: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F4BC";"👩🏼
💼"
"woman office worker: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F4BC";"👩🏽
💼"
"woman office worker: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F4BC";"👩🏾
💼"
"woman office worker: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F4BC";"👩🏿
💼"
"man scientist";"U+1F468 U+200D U+1F52C";"👨
🔬"
"man scientist: light skin tone";"U+1F468 U+1F3FB U+200D U+1F52C";"👨🏻
🔬"
"man scientist: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F52C";"👨🏼
🔬"
"man scientist: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F52C";"👨🏽
🔬"
"man scientist: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F52C";"👨🏾
🔬"
"man scientist: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F52C";"👨🏿
🔬"
"woman scientist";"U+1F469 U+200D U+1F52C";"👩
🔬"
"woman scientist: light skin tone";"U+1F469 U+1F3FB U+200D U+1F52C";"👩🏻
🔬"
"woman scientist: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F52C";"👩🏼
🔬"
"woman scientist: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F52C";"👩🏽
🔬"
"woman scientist: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F52C";"👩🏾
🔬"
"woman scientist: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F52C";"👩🏿
🔬"
"man technologist";"U+1F468 U+200D U+1F4BB";"👨
💻"
"man technologist: light skin tone";"U+1F468 U+1F3FB U+200D U+1F4BB";"👨🏻
💻"
"man technologist: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F4BB";"👨🏼
💻"
"man technologist: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F4BB";"👨🏽
💻"
"man technologist: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F4BB";"👨🏾
💻"
"man technologist: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F4BB";"👨🏿
💻"
"woman technologist";"U+1F469 U+200D U+1F4BB";"👩
💻"
"woman technologist: light skin tone";"U+1F469 U+1F3FB U+200D U+1F4BB";"👩🏻
💻"
"woman technologist: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F4BB";"👩🏼
💻"
