"CLDR.Short.Name";"Code";"Browser";"R.Encoding"
"woman teacher: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F3EB";"👩🏿
🏫";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8f><ab>"
"man judge";"U+1F468 U+200D U+2696 U+FE0F";"👨
⚖️";"<f0><9f><91><a8> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: light skin tone";"U+1F468 U+1F3FB U+200D U+2696 U+FE0F";"👨🏻
⚖️";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+2696 U+FE0F";"👨🏼
⚖️";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: medium skin tone";"U+1F468 U+1F3FD U+200D U+2696 U+FE0F";"👨🏽
⚖️";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+2696 U+FE0F";"👨🏾
⚖️";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man judge: dark skin tone";"U+1F468 U+1F3FF U+200D U+2696 U+FE0F";"👨🏿
⚖️";"<f0><9f><91><a8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge";"U+1F469 U+200D U+2696 U+FE0F";"👩
⚖️";"<f0><9f><91><a9> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge: light skin tone";"U+1F469 U+1F3FB U+200D U+2696 U+FE0F";"👩🏻
⚖️";"<f0><9f><91><a9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+2696 U+FE0F";"👩🏼
⚖️";"<f0><9f><91><a9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge: medium skin tone";"U+1F469 U+1F3FD U+200D U+2696 U+FE0F";"👩🏽
⚖️";"<f0><9f><91><a9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+2696 U+FE0F";"👩🏾
⚖️";"<f0><9f><91><a9> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"woman judge: dark skin tone";"U+1F469 U+1F3FF U+200D U+2696 U+FE0F";"👩🏿
⚖️";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><9a><96> <f0><8f><b8><8f>"
"man farmer";"U+1F468 U+200D U+1F33E";"👨
🌾";"<f0><9f><91><a8> <f0><82><80><8d> <f0><9f><8c><be>"
"man farmer: light skin tone";"U+1F468 U+1F3FB U+200D U+1F33E";"👨🏻
🌾";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8c><be>"
"man farmer: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F33E";"👨🏼
🌾";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8c><be>"
"man farmer: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F33E";"👨🏽
🌾";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8c><be>"
"man farmer: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F33E";"👨🏾
🌾";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8c><be>"
"man farmer: dark skin tone";"U+1F468 U+1F3FF U+200D U+1F33E";"👨🏿
🌾";"<f0><9f><91><a8> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer";"U+1F469 U+200D U+1F33E";"👩
🌾";"<f0><9f><91><a9> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer: light skin tone";"U+1F469 U+1F3FB U+200D U+1F33E";"👩🏻
🌾";"<f0><9f><91><a9> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer: medium-light skin tone";"U+1F469 U+1F3FC U+200D U+1F33E";"👩🏼
🌾";"<f0><9f><91><a9> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer: medium skin tone";"U+1F469 U+1F3FD U+200D U+1F33E";"👩🏽
🌾";"<f0><9f><91><a9> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer: medium-dark skin tone";"U+1F469 U+1F3FE U+200D U+1F33E";"👩🏾
🌾";"<f0><9f><91><a9> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8c><be>"
"woman farmer: dark skin tone";"U+1F469 U+1F3FF U+200D U+1F33E";"👩🏿
🌾";"<f0><9f><91><a9> <f0><9f><8f><bf> <f0><82><80><8d> <f0><9f><8c><be>"
"man cook";"U+1F468 U+200D U+1F373";"👨
🍳";"<f0><9f><91><a8> <f0><82><80><8d> <f0><9f><8d><b3>"
"man cook: light skin tone";"U+1F468 U+1F3FB U+200D U+1F373";"👨🏻
🍳";"<f0><9f><91><a8> <f0><9f><8f><bb> <f0><82><80><8d> <f0><9f><8d><b3>"
"man cook: medium-light skin tone";"U+1F468 U+1F3FC U+200D U+1F373";"👨🏼
🍳";"<f0><9f><91><a8> <f0><9f><8f><bc> <f0><82><80><8d> <f0><9f><8d><b3>"
"man cook: medium skin tone";"U+1F468 U+1F3FD U+200D U+1F373";"👨🏽
🍳";"<f0><9f><91><a8> <f0><9f><8f><bd> <f0><82><80><8d> <f0><9f><8d><b3>"
"man cook: medium-dark skin tone";"U+1F468 U+1F3FE U+200D U+1F373";"👨🏾
🍳";"<f0><9f><91><a8> <f0><9f><8f><be> <f0><82><80><8d> <f0><9f><8d><b3>"
